date,time,temperature_2m,temp_f
2026-06-27,2026-06-26T20:00,25.8,78.4
2026-06-27,2026-06-27T05:15,21.5,70.7
2026-06-27,2026-06-27T09:15,24.1,75.4
2026-06-27,2026-06-27T13:45,28.2,82.8
2026-06-27,2026-06-27T18:45,21.8,71.2
2026-06-28,2026-06-28T05:45,20.3,68.5
2026-06-28,2026-06-28T09:15,22.8,73.0
2026-06-28,2026-06-28T14:00,26.8,80.2
2026-06-28,2026-06-28T18:45,26.1,79.0
2026-06-29,2026-06-29T07:45,21.7,71.1
2026-06-29,2026-06-29T11:30,29.7,85.5
2026-06-29,2026-06-29T15:00,30.9,87.6
2026-06-29,2026-06-29T18:45,29.1,84.4
2026-06-30,2026-06-30T06:15,21.3,70.3
2026-06-30,2026-06-30T10:00,28.3,82.9
2026-06-30,2026-06-30T14:45,32.3,90.1
2026-06-30,2026-06-30T19:00,31.1,88.0
2026-07-01,2026-07-01T06:30,24.3,75.7
2026-07-01,2026-07-01T10:15,29.6,85.3
2026-07-01,2026-07-01T14:45,36.1,97.0
2026-07-01,2026-07-01T19:00,33.1,91.6
2026-07-02,2026-07-02T05:45,26.2,79.2
2026-07-02,2026-07-02T09:30,34.4,93.9
2026-07-02,2026-07-02T14:15,39.2,102.6
2026-07-02,2026-07-02T18:45,35.5,95.9
2026-07-03,2026-07-03T05:45,28.0,82.4
2026-07-03,2026-07-03T09:45,34.8,94.6
2026-07-03,2026-07-03T14:00,39.3,102.7
2026-07-03,2026-07-03T18:45,35.8,96.4
2026-07-04,2026-07-04T05:15,23.2,73.8
2026-07-04,2026-07-04T09:00,28.0,82.4
2026-07-04,2026-07-04T13:45,35.1,95.2
2026-07-04,2026-07-04T18:45,35.6,96.1
2026-07-05,2026-07-05T05:30,22.5,72.5
2026-07-05,2026-07-05T09:15,25.2,77.4
2026-07-05,2026-07-05T13:45,25.8,78.4
2026-07-05,2026-07-05T18:45,26.2,79.2
2026-07-06,2026-07-06T07:15,20.7,69.3
2026-07-06,2026-07-06T11:15,20.8,69.4
2026-07-06,2026-07-06T14:45,19.9,67.8
2026-07-06,2026-07-06T19:00,18.6,65.5
2026-07-07,2026-07-07T06:15,18.0,64.4
2026-07-07,2026-07-07T10:00,18.2,64.8
2026-07-07,2026-07-07T14:45,20.3,68.5
2026-07-07,2026-07-07T18:45,19.7,67.5
2026-07-08,2026-07-08T05:15,17.3,63.1
2026-07-08,2026-07-08T09:45,22.1,71.8
2026-07-08,2026-07-08T14:00,28.1,82.6
2026-07-08,2026-07-08T18:45,25.7,78.3
2026-07-09,2026-07-09T06:15,20.6,69.1
2026-07-09,2026-07-09T10:30,26.4,79.5
2026-07-09,2026-07-09T14:45,25.2,77.4
2026-07-09,2026-07-09T19:00,24.1,75.4
2026-07-10,2026-07-10T10:00,26.8,80.2
2026-07-10,2026-07-10T14:15,29.8,85.6
2026-07-10,2026-07-10T18:45,27.6,81.7
2026-07-11,2026-07-11T04:30,23.2,73.8
2026-07-11,2026-07-11T09:00,24.7,76.5
2026-07-11,2026-07-11T13:45,26.4,79.5
2026-07-11,2026-07-11T18:30,25.1,77.2
2026-07-12,2026-07-12T04:45,19.5,67.1
2026-07-12,2026-07-12T09:00,23.6,74.5
2026-07-12,2026-07-12T13:45,29.2,84.6
2026-07-12,2026-07-12T18:30,26.1,79.0
2026-07-13,2026-07-13T06:15,20.2,68.4
2026-07-13,2026-07-13T10:00,25.6,78.1
2026-07-13,2026-07-13T14:15,29.2,84.6
2026-07-13,2026-07-13T18:45,27.2,81.0
2026-07-14,2026-07-14T05:00,20.9,69.6
2026-07-14,2026-07-14T09:15,26.0,78.8
2026-07-14,2026-07-14T13:45,34.2,93.6
2026-07-14,2026-07-14T18:45,32.8,91.0
2026-07-15,2026-07-15T05:00,24.7,76.5
2026-07-15,2026-07-15T09:15,29.5,85.1
2026-07-15,2026-07-15T14:00,37.8,100.0
2026-07-15,2026-07-15T18:45,28.0,82.4
2026-07-16,2026-07-16T05:00,22.7,72.9
2026-07-16,2026-07-16T09:15,24.0,75.2
2026-07-16,2026-07-16T13:45,31.8,89.2
2026-07-16,2026-07-16T18:45,30.3,86.5
2026-07-17,2026-07-17T05:00,20.2,68.4
2026-07-17,2026-07-17T09:00,23.6,74.5
2026-07-17,2026-07-17T13:45,31.3,88.3
2026-07-17,2026-07-17T18:30,29.7,85.5
2026-07-18,2026-07-18T04:45,21.4,70.5
2026-07-18,2026-07-18T08:45,23.7,74.7
2026-07-18,2026-07-18T13:45,25.2,77.4
2026-07-18,2026-07-18T18:30,25.5,77.9
2026-07-19,2026-07-19T05:00,21.7,71.1
2026-07-19,2026-07-19T09:00,22.3,72.1
2026-07-19,2026-07-19T13:45,27.5,81.5
2026-07-19,2026-07-19T18:30,26.4,79.5
2026-07-20,2026-07-20T05:45,15.1,59.2
2026-07-20,2026-07-20T09:45,21.1,70.0
2026-07-20,2026-07-20T14:45,27.8,82.0
2026-07-20,2026-07-20T18:45,25.4,77.7
2026-07-21,2026-07-21T05:15,21.0,69.8
2026-07-21,2026-07-21T09:15,23.4,74.1
2026-07-21,2026-07-21T14:00,28.2,82.8
2026-07-21,2026-07-21T18:45,23.4,74.1
